CMMC ID,NIST 800-171,Domain,CMMC Level,Practice (short),Primary AI RMF,Primary category,Secondary AI RMF,Strength
AC.L1-3.1.1,3.1.1,AC,1,"Limit system access to authorized users, processes, devices",GOVERN,GOVERN 1 / GOVERN 2,MAP 2,STRONG
AC.L1-3.1.2,3.1.2,AC,1,Limit access to authorized transactions and functions,GOVERN,GOVERN 1,MANAGE 1,STRONG
AC.L2-3.1.3,3.1.3,AC,2,Control CUI information flow,MAP,MAP 4,MANAGE 2,STRONG
AC.L2-3.1.4,3.1.4,AC,2,Separation of duties,GOVERN,GOVERN 2,MANAGE 1,PARTIAL
AC.L2-3.1.5,3.1.5,AC,2,Least privilege,GOVERN,GOVERN 1,MAP 2,STRONG
AC.L2-3.1.6,3.1.6,AC,2,Non-privileged accounts for nonsecurity functions,GOVERN,GOVERN 1,MANAGE 1,PARTIAL
AC.L2-3.1.7,3.1.7,AC,2,Prevent non-privileged users from running privileged functions,MANAGE,MANAGE 1,GOVERN 1,PARTIAL
AC.L2-3.1.8,3.1.8,AC,2,Limit unsuccessful logon attempts,MANAGE,MANAGE 4,MEASURE 2,PARTIAL
AC.L2-3.1.9,3.1.9,AC,2,Provide privacy / security notices,GOVERN,GOVERN 4,MAP 1,PARTIAL
AC.L2-3.1.10,3.1.10,AC,2,Use session lock,MANAGE,MANAGE 4,—,PARTIAL
AC.L2-3.1.11,3.1.11,AC,2,Terminate user sessions after defined conditions,MANAGE,MANAGE 4,MEASURE 2,PARTIAL
AC.L2-3.1.12,3.1.12,AC,2,Monitor and control remote access,MAP,MAP 1,MANAGE 4,STRONG
AC.L2-3.1.13,3.1.13,AC,2,Cryptographic mechanisms for remote access confidentiality,MANAGE,MANAGE 2,GOVERN 6,STRONG
AC.L2-3.1.14,3.1.14,AC,2,Route remote access through managed access control points,MAP,MAP 4,GOVERN 6,STRONG
AC.L2-3.1.15,3.1.15,AC,2,Authorize remote execution of privileged commands,GOVERN,GOVERN 2,MANAGE 1,PARTIAL
